AUTHORISATION ID / PERMIT ID,ACTIVITY DESCRIPTION,OPERATOR NAME,SITE ADDRESS,SITE POSTCODE,EASTING,NORTHING,EA AREA NAME,ROUTE NAME,SUBSTANCE NAME,REPORTING THRESHOLD (kg),QUANTITY RELEASED (kg),REGULATED INDUSTRY SECTOR,REGULATED INDUSTRY SUB SECTOR,PNEC (??g/L),Latitude,Longitude,REGION
CASM.0340,,Anglian Water,SOUTHEND ON SEA STW,,581900,190600,East Anglia,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1,1.05,Water Industry,Water Industry,,51.58489477,0.624173135,East of England
CASM.0340,,Anglian Water,SOUTHEND ON SEA STW,,581900,190600,East Anglia,Controlled Waters,Benzo(a)pyrene,1,0,Water Industry,Water Industry,,51.58489477,0.624173135,East of England
AENTS13068,,Anglian Water,Wisbech W.Walton STW,,545800,314100,Lincolnshire and Northamptonshire,Controlled Waters,Fluoranthene,0.1,0,Water Industry,Water Industry,,52.7049387,0.156492431,East of England
AENTS13068,,Anglian Water,Wisbech W.Walton STW,,545800,314100,Lincolnshire and Northamptonshire,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1,0,Water Industry,Water Industry,,52.7049387,0.156492431,East of England
AENTS13068,,Anglian Water,Wisbech W.Walton STW,,545800,314100,Lincolnshire and Northamptonshire,Controlled Waters,Benzo(a)pyrene,1,0,Water Industry,Water Industry,,52.7049387,0.156492431,East of England
AEECS12290,,Anglian Water,Caister (Great Yarmouth) STW,,654620,309850,East Anglia,Controlled Waters,Fluoranthene,0.1,0,Water Industry,Water Industry,,52.62663561,1.760843273,East of England
AEECS12290,,Anglian Water,Caister (Great Yarmouth) STW,,654620,309850,East Anglia,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1,0,Water Industry,Water Industry,,52.62663561,1.760843273,East of England
AEECS12290,,Anglian Water,Caister (Great Yarmouth) STW,,654620,309850,East Anglia,Controlled Waters,Benzo(a)pyrene,1,0,Water Industry,Water Industry,,52.62663561,1.760843273,East of England
CNTW.0890,,Anglian Water,BASILDON,,573700,187400,East Anglia,Controlled Waters,Fluoranthene,0.1,0,Water Industry,Water Industry,,51.5587351,0.504357091,East of England
CNTW.0890,,Anglian Water,BASILDON,,573700,187400,East Anglia,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1,0,Water Industry,Water Industry,,51.5587351,0.504357091,East of England
CNTW.0890,,Anglian Water,BASILDON,,573700,187400,East Anglia,Controlled Waters,Benzo(a)pyrene,1,0,Water Industry,Water Industry,,51.5587351,0.504357091,East of England
