AUTHORISATION ID / PERMIT ID,PRIMARY INDUSTRY ACTIVITY DESCRIPTION,OPERATOR NAME,SITE ADDRESS,SITE POSTCODE,EASTING,NORTHING,EA AREA NAME,ROUTE NAME,SUBSTANCE NAME,REPORTING THRESHOLD (kg),QUANTITY RELEASED (kg),REGULATED INDUSTRY SECTOR,REGULATED INDUSTRY SUB SECTOR,PNEC (µg/L)
CLCR.0048,,THAMES WATER UTILITIES LTD,Rye Meads Combined Heat And Power Plant Off Rye Road Stanstead Abbotts Hertfordshire,SG12 8JY,539260,210400,Hertfordshire and North London,Controlled Waters,Benzo(a)pyrene,1.0,1.2,Water Industry,Water Industry,
A74/S/87,,Southern Water,Portobello STW (Brighton),BN10 7BD,539300,101460,Solent and South Downs,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1.0,1.21,Water Industry,Water Industry,
AW4TF1789,,Anglian Water,Whitlingham(Norwich) STW,,627800,307700,East Anglia,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1.0,1.21,Water Industry,Water Industry,
016950041,,UNITED UTILITIES WATER PLC,ROCHDALE,,388160,412370,Greater Manchester Merseyside and Cheshire,Controlled Waters,Benzo(a)pyrene,1.0,1.22,Water Industry,Water Industry,
T/12/35338/R,,SEVERN TRENT WATER LTD,Coleshill STW,B46 1NX,419000,291000,West Midlands,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1.0,1.24,Water Industry,Water Industry,
016920130,,UNITED UTILITIES WATER PLC,ST HELENS,,353820,395900,Greater Manchester Merseyside and Cheshire,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1.0,1.25,Water Industry,Water Industry,
017160008,,UNITED UTILITIES WATER PLC,HYNDBURN,,375750,433550,Cumbria and Lancashire,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1.0,1.28,Water Industry,Water Industry,
T/48/12074/R,,SEVERN TRENT WATER LTD,Derby Sewage Treatment Works Chp Plant Megaloughton Lane Spondon Derby Derbyshire,DE21 7BR,438830,343470,East Midlands,Controlled Waters,Benzo(a)pyrene,1.0,1.28,Water Industry,Water Industry,
AWNNF13052,,Anglian Water,Great Billing STW,,483280,261550,Lincolnshire and Northamptonshire,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1.0,1.28,Water Industry,Water Industry,
A569/H/90,,Southern Water,Peel Common STW,PO14 2LJ,456500,103300,Solent and South Downs,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1.0,1.29,Water Industry,Water Industry,
017670049,,UNITED UTILITIES WATER PLC,CARLISLE WILLOWHOLME INDUSTRIAL ESTATE CARLISLE CUMBRIA,CA2 5SH,338470,556520,Cumbria and Lancashire,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1.0,1.3,Water Industry,Water Industry,
S/06/55232/R,,SEVERN TRENT WATER LTD,Roundhill Sewage Treatment Wor Gibbett Lane Kinver West Midlands,DY7 6PX,303870,202830,West Midlands,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1.0,1.32,Water Industry,Water Industry,
CASM.0040,,THAMES WATER UTILITIES LTD,HOGSMILL A STW,KT1 3BW,519200,168500,"Kent, South London and East Sussex",Controlled Waters,"Indeno(1,2,3-cd)pyrene",1.0,1.34,Water Industry,Water Industry,
016950033,,UNITED UTILITIES WATER PLC,BURY,,380450,408050,Greater Manchester Merseyside and Cheshire,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1.0,1.36,Water Industry,Water Industry,
017081316,,UNITED UTILITIES WATER PLC,WIGAN,,348170,412020,Greater Manchester Merseyside and Cheshire,Controlled Waters,Benzo(a)pyrene,1.0,1.42,Water Industry,Water Industry,
017160024,,UNITED UTILITIES WATER PLC,BLACKBURN,,360470,429410,Cumbria and Lancashire,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1.0,1.44,Water Industry,Water Industry,
CASM.0340,,Anglian Water,SOUTHEND ON SEA STW,,581900,190600,East Anglia,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1.0,1.48,Water Industry,Water Industry,
016950032,,UNITED UTILITIES WATER PLC,BOLTON,,376950,404520,Greater Manchester Merseyside and Cheshire,Controlled Waters,Benzo(a)pyrene,1.0,1.49,Water Industry,Water Industry,
CSSA.0364,,THAMES WATER UTILITIES LTD,RIVERSIDE STW,RM13 8RL,551500,181900,Hertfordshire and North London,Controlled Waters,Benzo(a)pyrene,1.0,1.52,Water Industry,Water Industry,
